headline,date,section,url,word_count
LIFE FOR TERRORIST IN EMBASSY ATTACK,2001-06-13,Front Page; Washington; New York and Region,http://www.nytimes.com/2001/06/13/nyregion/life-for-terrorist-in-embassy-attack.html,1290
Death Decree Could Have Troubled U.S. Muslims,2001-06-13,Washington; New York and Region,http://www.nytimes.com/2001/06/13/nyregion/death-decree-could-have-troubled-us-muslims.html,980
NEWS SUMMARY,2001-06-17,New York and Region,http://www.nytimes.com/2001/06/17/nyregion/news-summary-846180.html,690
"As Bush Replaces Prosecutors, a Formidable One Stays On",2001-06-18,Washington; New York and Region,http://www.nytimes.com/2001/06/18/nyregion/as-bush-replaces-prosecutors-a-formidable-one-stays-on.html,2000
Yemen Arrests Suspects in Plot on U.S. Agents for Bomb Case,2001-06-19,World; Washington,http://www.nytimes.com/2001/06/19/world/yemen-arrests-suspects-in-plot-on-us-agents-for-bomb-case.html,558
Prosecutors Seek Death for Second Bomber,2001-06-19,Washington; New York and Region,http://www.nytimes.com/2001/06/19/nyregion/prosecutors-seek-death-for-second-bomber.html,658
Yemen Holds 8 Suspected in Plot to Bomb American Embassy,2001-06-20,World,http://www.nytimes.com/2001/06/20/world/yemen-holds-8-suspected-in-plot-to-bomb-american-embassy.html,435
Arguments on Death Penalty For 2nd Convicted Terrorist,2001-06-20,Washington; New York and Region,http://www.nytimes.com/2001/06/20/nyregion/arguments-on-death-penalty-for-2nd-convicted-terrorist.html,782
"Bomber Helped Stab Guard, Jury Is Told",2001-06-21,Washington; New York and Region,http://www.nytimes.com/2001/06/21/nyregion/bomber-helped-stab-guard-jury-is-told.html,709
"Pondering Terrorist's Execution, Jury Weighs Notes Found in Cell",2001-06-22,Washington; New York and Region,http://www.nytimes.com/2001/06/22/nyregion/pondering-terrorist-s-execution-jury-weighs-notes-found-in-cell.html,491
Spain Arrests Terror Suspect Said to Be Linked to bin Laden,2001-06-23,World,http://www.nytimes.com/2001/06/23/world/spain-arrests-terror-suspect-said-to-be-linked-to-bin-laden.html,437
Terrorism and Iran: Washington's Policy Performs a Gingerly Balancing Act,2001-06-23,World; Washington,http://www.nytimes.com/2001/06/23/world/terrorism-and-iran-washington-s-policy-performs-a-gingerly-balancing-act.html,1146
"Sharon, in New York, Urges Arafat to 'Put Out Flames'",2001-06-26,World,http://www.nytimes.com/2001/06/26/world/sharon-in-new-york-urges-arafat-to-put-out-flames.html,657
Foreign Affairs; A Memo From Osama,2001-06-26,Opinion,http://www.nytimes.com/2001/06/26/opinion/foreign-affairs-a-memo-from-osama.html,770
"For Israeli Defense Chief, No Choice but Optimism",2001-06-26,World,http://www.nytimes.com/2001/06/26/world/for-israeli-defense-chief-no-choice-but-optimism.html,928
Trial Opens for Third Algerian In Bomb Plot Before Millennium,2001-06-27,New York and Region,http://www.nytimes.com/2001/06/27/nyregion/trial-opens-for-third-algerian-in-bomb-plot-before-millennium.html,520
Essay; Ariel Makes His Point to George,2001-06-28,Opinion,http://www.nytimes.com/2001/06/28/opinion/essay-ariel-makes-his-point-to-george.html,698
Defense Psychiatrist Tells Jury of Embassy Bomber's Remorse,2001-06-28,New York and Region,http://www.nytimes.com/2001/06/28/nyregion/defense-psychiatrist-tells-jury-of-embassy-bomber-s-remorse.html,704
Jury in Embassy Bomb Case Hears Terrorist's Relatives,2001-06-29,New York and Region,http://www.nytimes.com/2001/06/29/nyregion/jury-in-embassy-bomb-case-hears-terrorist-s-relatives.html,529
Role of Martyrdom Is Debated In Sentence for Embassy Bombing,2001-07-03,New York and Region,http://www.nytimes.com/2001/07/03/nyregion/role-of-martyrdom-is-debated-in-sentence-for-embassy-bombing.html,864
BOMB PLOT INSIDER DETAILS TRAINING,2001-07-04,Front Page; New York and Region,http://www.nytimes.com/2001/07/04/nyregion/bomb-plot-insider-details-training.html,1195
Metro Briefing | New York: Manhattan: Deliberations In Terror Trial,2001-07-04,Washington; New York and Region,http://www.nytimes.com/2001/07/04/nyregion/metro-briefing-new-york-manhattan-deliberations-in-terror-trial.html,83
NEWS SUMMARY,2001-07-04,New York and Region,http://www.nytimes.com/2001/07/04/nyregion/news-summary-096806.html,964
Testimony at Bombing Trial Outlines Recipe for Mayhem,2001-07-06,New York and Region,http://www.nytimes.com/2001/07/06/nyregion/testimony-at-bombing-trial-outlines-recipe-for-mayhem.html,793
'Only You Can Save Your Sons',2001-07-08,Magazine,http://www.nytimes.com/2001/07/08/magazine/only-you-can-save-your-sons.html,8371
Exasperated Arafat Says U.S. Should Do More,2001-07-08,World; Washington,http://www.nytimes.com/2001/07/08/world/exasperated-arafat-says-us-should-do-more.html,1332
Metro Briefing | New York: Manhattan: No Terror Trial Sentencing,2001-07-10,Washington; New York and Region,http://www.nytimes.com/2001/07/10/nyregion/metro-briefing-new-york-manhattan-no-terror-trial-sentencing.html,91
Jury Rejects Death Penalty For Terrorist,2001-07-11,Washington; New York and Region,http://www.nytimes.com/2001/07/11/nyregion/jury-rejects-death-penalty-for-terrorist.html,1217
Metro Briefing | New York: Manhattan: Prosecutor Named For Commerce Post,2001-07-12,New York and Region,http://www.nytimes.com/2001/07/12/nyregion/metro-briefing-new-york-manhattan-prosecutor-named-for-commerce-post.html,70
"To Prosecutors, He's a Terrorist; to Defenders, a Con Man",2001-07-12,New York and Region,http://www.nytimes.com/2001/07/12/nyregion/to-prosecutors-he-s-a-terrorist-to-defenders-a-con-man.html,762
Rights Group Says Taliban Aren't Solely to Blame for the Afghan Disaster,2001-07-13,World; Washington,http://www.nytimes.com/2001/07/13/world/rights-group-says-taliban-aren-t-solely-to-blame-for-the-afghan-disaster.html,649
Foreign Affairs; The Rumsfeld Defense,2001-07-13,Opinion,http://www.nytimes.com/2001/07/13/opinion/foreign-affairs-the-rumsfeld-defense.html,759
Man Is Guilty In Bomb Plot At Millennium,2001-07-14,New York and Region,http://www.nytimes.com/2001/07/14/nyregion/man-is-guilty-in-bomb-plot-at-millennium.html,924
Reporter's Notebook; Opinions on Death Penalty Spoken But Not Heard,2001-07-15,New York and Region,http://www.nytimes.com/2001/07/15/nyregion/reporter-s-notebook-opinions-on-death-penalty-spoken-but-not-heard.html,940
Sharon Booed by Fellow Rightists Who Say He's Too Soft,2001-07-23,World,http://www.nytimes.com/2001/07/23/world/sharon-booed-by-fellow-rightists-who-say-he-s-too-soft.html,912
More to It Than Games,2001-07-24,Sports,http://www.nytimes.com/2001/07/24/sports/olympics-more-to-it-than-games.html,837
Foreign Affairs; Digital Defense,2001-07-27,Opinion,http://www.nytimes.com/2001/07/27/opinion/foreign-affairs-digital-defense.html,772
U.N. to Use Experts On Taliban Embargo,2001-07-31,World,http://www.nytimes.com/2001/07/31/world/un-to-use-experts-on-taliban-embargo.html,133
Government Pays Over $7 Million for Defense in Embassy Bombings Case,2001-07-31,Washington; New York and Region,http://www.nytimes.com/2001/07/31/nyregion/government-pays-over-7-million-for-defense-in-embassy-bombings-case.html,929
Kenya Opens Memorial Site For Bombing Of Embassy,2001-08-08,World; Washington,http://www.nytimes.com/2001/08/08/world/kenya-opens-memorial-site-for-bombing-of-embassy.html,695
Fighting Terrorists,2001-08-18,Opinion,http://www.nytimes.com/2001/08/18/opinion/l-fighting-terrorists-753300.html,135
The Nation: Terminator; Making Rules in the World Between War and Peace,2001-08-19,Week in Review,http://www.nytimes.com/2001/08/19/weekinreview/the-nation-terminator-making-rules-in-the-world-between-war-and-peace.html,1357
NEWS SUMMARY,2001-08-21,New York and Region,http://www.nytimes.com/2001/08/21/nyregion/news-summary-796441.html,1280
F.B.I.'s Inquiry In Cole Attack Is Nearing Halt,2001-08-21,World; Front Page; Washington,http://www.nytimes.com/2001/08/21/world/fbi-s-inquiry-in-cole-attack-is-nearing-halt.html,1380
"U.S. Seeking F.B.I.'s Return To Yemen, Says State Dept.",2001-08-22,World,http://www.nytimes.com/2001/08/22/world/us-seeking-fbi-s-return-to-yemen-says-state-dept.html,353
August 19-25; Cole Inquiry Stalled,2001-08-26,Week in Review,http://www.nytimes.com/2001/08/26/weekinreview/august-19-25-cole-inquiry-stalled.html,146
